activity_id,activity_name,city,category,price_aud,rating,suitable_for,duration_hours
AC-MEL-016,Melbourne Rooftop Bar Crawl,Melbourne,nightlife,96,4.6,"adults, groups",3.5
AC-MEL-017,Melbourne Live Music & Dinner Evening,Melbourne,nightlife,122,4.4,"couples, adults",3.1
AC-MEL-018,Melbourne Craft & Artisan Workshop,Melbourne,class,136,3.6,everyone,2.6
AC-MEL-019,Melbourne Language & Culture Crash Course,Melbourne,class,56,4.8,solo travellers,2.8
AC-MEL-020,Melbourne Wellness & Spa Half-Day,Melbourne,wellness,260,3.9,couples,4.6
AC-MEL-021,Melbourne Sunrise Yoga Session,Melbourne,wellness,83,4.5,everyone,1.6
AC-MEL-022,Melbourne Hop-On Hop-Off Bus Pass,Melbourne,sightseeing,68,3.6,"families, everyone",5.2
AC-MEL-023,Melbourne River & Canal Cruise,Melbourne,sightseeing,74,4.2,everyone,2.2
AC-MEL-024,Melbourne Observation Deck Skip-the-Line,Melbourne,sightseeing,85,4.2,families,1.8
AC-MEL-025,Melbourne Street Food Walking Tour — Afternoon Edition,Melbourne,food & drink,124,4.7,"couples, foodies",3.7
AC-MEL-026,Melbourne Cooking Class with Local Chef — Evening Edition,Melbourne,food & drink,173,4,"couples, families",3.4
AC-MEL-027,Melbourne Night Market & Tapas Crawl — Afternoon Edition,Melbourne,food & drink,82,4.5,"adults, groups",3.2
AC-MEL-028,Historic Melbourne City Walking Tour — Afternoon Edition,Melbourne,culture,60,4.9,everyone,2.2
AC-MEL-029,Melbourne Museum & Gallery Pass — Evening Edition,Melbourne,culture,85,3.5,everyone,3.5
AC-MEL-030,Melbourne Old Town Photography Tour — Private Edition,Melbourne,culture,156,4.9,"couples, solo travellers",2.9
AC-MEL-031,Melbourne Sunset Cruise — Premium Edition,Melbourne,water,154,4.3,"couples, families",2.3
AC-MEL-032,Snorkelling Day Trip from Melbourne — Premium Edition,Melbourne,water,240,3.8,"families, adventure seekers",7.3
AC-MEL-033,Melbourne Kayak & Coastline Tour — Private Edition,Melbourne,water,88,4.9,active travellers,3.5
AC-MEL-034,Melbourne Countryside Day Trip — Afternoon Edition,Melbourne,day trip,187,4.3,everyone,8.9
AC-MEL-035,Wine & Vineyard Tour near Melbourne — Afternoon Edition,Melbourne,day trip,197,3.5,adults,6.7
AC-MEL-036,Melbourne Hidden Villages Small-Group Tour — Premium Edition,Melbourne,day trip,164,4.8,small groups,7.6
AC-MEL-037,Melbourne Mountain Hike & Viewpoints — Afternoon Edition,Melbourne,adventure,155,4.3,active travellers,4.1
AC-MEL-038,Melbourne Bike Tour — Private Edition,Melbourne,adventure,91,4.3,"active travellers, families",3.8
AC-MEL-039,Melbourne Zipline & Ropes Adventure — Afternoon Edition,Melbourne,adventure,156,4.4,adventure seekers,2.5
AC-MEL-040,Melbourne Rooftop Bar Crawl — Afternoon Edition,Melbourne,nightlife,138,3.7,"adults, groups",3.6
AC-MEL-041,Melbourne Live Music & Dinner Evening — Premium Edition,Melbourne,nightlife,254,3.9,"couples, adults",3.7
AC-MEL-042,Melbourne Craft & Artisan Workshop — Morning Edition,Melbourne,class,182,4.3,everyone,2.2
AC-MEL-043,Melbourne Language & Culture Crash Course — Afternoon Edition,Melbourne,class,78,4.7,solo travellers,2.5
AC-BNE-001,Brisbane Street Food Walking Tour,Brisbane,food & drink,107,4.6,"couples, foodies",2.6
AC-BNE-002,Brisbane Cooking Class with Local Chef,Brisbane,food & drink,140,5,"couples, families",3.1
AC-BNE-003,Brisbane Night Market & Tapas Crawl,Brisbane,food & drink,58,3.5,"adults, groups",3.2
AC-BNE-004,Historic Brisbane City Walking Tour,Brisbane,culture,59,4.6,everyone,2.8
AC-BNE-005,Brisbane Museum & Gallery Pass,Brisbane,culture,95,4.8,everyone,5.9
AC-BNE-006,Brisbane Old Town Photography Tour,Brisbane,culture,142,3.9,"couples, solo travellers",2.5
AC-BNE-007,Brisbane Sunset Cruise,Brisbane,water,98,3.5,"couples, families",2.2
AC-BNE-008,Snorkelling Day Trip from Brisbane,Brisbane,water,180,3.7,"families, adventure seekers",6
AC-BNE-009,Brisbane Kayak & Coastline Tour,Brisbane,water,100,4.3,active travellers,3.4
AC-BNE-010,Brisbane Countryside Day Trip,Brisbane,day trip,265,3.7,everyone,8.6
AC-BNE-011,Wine & Vineyard Tour near Brisbane,Brisbane,day trip,216,3.7,adults,6.4
AC-BNE-012,Brisbane Hidden Villages Small-Group Tour,Brisbane,day trip,113,4.7,small groups,8.6
AC-BNE-013,Brisbane Mountain Hike & Viewpoints,Brisbane,adventure,135,4.6,active travellers,8
AC-BNE-014,Brisbane Bike Tour,Brisbane,adventure,117,4.9,"active travellers, families",3.2
AC-BNE-015,Brisbane Zipline & Ropes Adventure,Brisbane,adventure,179,4.6,adventure seekers,3.9
AC-BNE-016,Brisbane Rooftop Bar Crawl,Brisbane,nightlife,130,3.8,"adults, groups",3.6
AC-BNE-017,Brisbane Live Music & Dinner Evening,Brisbane,nightlife,224,4.5,"couples, adults",3.6
AC-BNE-018,Brisbane Craft & Artisan Workshop,Brisbane,class,165,3.7,everyone,2.1
AC-BNE-019,Brisbane Language & Culture Crash Course,Brisbane,class,99,4.5,solo travellers,2.2
AC-BNE-020,Brisbane Wellness & Spa Half-Day,Brisbane,wellness,249,4.1,couples,3.7
AC-BNE-021,Brisbane Sunrise Yoga Session,Brisbane,wellness,47,4.8,everyone,1.3
AC-BNE-022,Brisbane Hop-On Hop-Off Bus Pass,Brisbane,sightseeing,48,4,"families, everyone",6.1
AC-BNE-023,Brisbane River & Canal Cruise,Brisbane,sightseeing,101,4.6,everyone,2.2
AC-BNE-024,Brisbane Observation Deck Skip-the-Line,Brisbane,sightseeing,63,3.7,families,1.4
AC-BNE-025,Brisbane Street Food Walking Tour — Premium Edition,Brisbane,food & drink,128,4.5,"couples, foodies",3.4
AC-BNE-026,Brisbane Cooking Class with Local Chef — Afternoon Edition,Brisbane,food & drink,124,4.7,"couples, families",3.4
AC-BNE-027,Brisbane Night Market & Tapas Crawl — Small Group Edition,Brisbane,food & drink,108,4.2,"adults, groups",3
AC-BNE-028,Historic Brisbane City Walking Tour — Evening Edition,Brisbane,culture,51,4.1,everyone,2.6
AC-BNE-029,Brisbane Museum & Gallery Pass — Morning Edition,Brisbane,culture,64,4.5,everyone,4
AC-BNE-030,Brisbane Old Town Photography Tour — Afternoon Edition,Brisbane,culture,134,4.7,"couples, solo travellers",2.3
AC-BNE-031,Brisbane Sunset Cruise — Morning Edition,Brisbane,water,110,4.9,"couples, families",2.1
AC-BNE-032,Snorkelling Day Trip from Brisbane — Private Edition,Brisbane,water,178,3.7,"families, adventure seekers",6.2
AC-BNE-033,Brisbane Kayak & Coastline Tour — Private Edition,Brisbane,water,118,4.4,active travellers,3.5
AC-BNE-034,Brisbane Countryside Day Trip — Afternoon Edition,Brisbane,day trip,191,3.9,everyone,8.5
AC-BNE-035,Wine & Vineyard Tour near Brisbane — Private Edition,Brisbane,day trip,318,3.7,adults,6.4
AC-BNE-036,Brisbane Hidden Villages Small-Group Tour — Premium Edition,Brisbane,day trip,117,4.6,small groups,8.7
AC-BNE-037,Brisbane Mountain Hike & Viewpoints — Morning Edition,Brisbane,adventure,76,3.9,active travellers,5.3
AC-BNE-038,Brisbane Bike Tour — Evening Edition,Brisbane,adventure,53,4.8,"active travellers, families",3.2
AC-BNE-039,Brisbane Zipline & Ropes Adventure — Afternoon Edition,Brisbane,adventure,185,3.7,adventure seekers,3.2
AC-BNE-040,Brisbane Rooftop Bar Crawl — Evening Edition,Brisbane,nightlife,90,4.6,"adults, groups",4
AC-BNE-041,Brisbane Live Music & Dinner Evening — Small Group Edition,Brisbane,nightlife,184,4.7,"couples, adults",3.7
AC-BNE-042,Brisbane Craft & Artisan Workshop — Morning Edition,Brisbane,class,163,4.3,everyone,2.6
AC-BNE-043,Brisbane Language & Culture Crash Course — Small Group Edition,Brisbane,class,64,4.8,solo travellers,2.1
AC-PER-001,Perth Street Food Walking Tour,Perth,food & drink,89,3.5,"couples, foodies",2.7
AC-PER-002,Perth Cooking Class with Local Chef,Perth,food & drink,116,4.4,"couples, families",3.1
AC-PER-003,Perth Night Market & Tapas Crawl,Perth,food & drink,68,3.5,"adults, groups",3.7
AC-PER-004,Historic Perth City Walking Tour,Perth,culture,37,4.7,everyone,2.3
AC-PER-005,Perth Museum & Gallery Pass,Perth,culture,47,4.6,everyone,3.1
AC-PER-006,Perth Old Town Photography Tour,Perth,culture,100,4.5,"couples, solo travellers",2.8
AC-PER-007,Perth Sunset Cruise,Perth,water,111,4.6,"couples, families",2.4
AC-PER-008,Snorkelling Day Trip from Perth,Perth,water,146,4.3,"families, adventure seekers",6.5
AC-PER-009,Perth Kayak & Coastline Tour,Perth,water,154,4.6,active travellers,3.2
AC-PER-010,Perth Countryside Day Trip,Perth,day trip,189,4.5,everyone,9.7
AC-PER-011,Wine & Vineyard Tour near Perth,Perth,day trip,328,3.8,adults,6.6
AC-PER-012,Perth Hidden Villages Small-Group Tour,Perth,day trip,125,4.8,small groups,7.1
AC-PER-013,Perth Mountain Hike & Viewpoints,Perth,adventure,135,4.7,active travellers,6.4
AC-PER-014,Perth Bike Tour,Perth,adventure,70,4.1,"active travellers, families",3.3
AC-PER-015,Perth Zipline & Ropes Adventure,Perth,adventure,119,4.8,adventure seekers,3.1
AC-PER-016,Perth Rooftop Bar Crawl,Perth,nightlife,124,3.8,"adults, groups",3.3
AC-PER-017,Perth Live Music & Dinner Evening,Perth,nightlife,180,3.4,"couples, adults",3.7
AC-PER-018,Perth Craft & Artisan Workshop,Perth,class,155,4.1,everyone,2.6
AC-PER-019,Perth Language & Culture Crash Course,Perth,class,44,4.3,solo travellers,2.2
AC-PER-020,Perth Wellness & Spa Half-Day,Perth,wellness,212,4.4,couples,3.9
AC-PER-021,Perth Sunrise Yoga Session,Perth,wellness,40,4.6,everyone,1.2
AC-PER-022,Perth Hop-On Hop-Off Bus Pass,Perth,sightseeing,86,4.2,"families, everyone",5.8
AC-PER-023,Perth River & Canal Cruise,Perth,sightseeing,52,3.9,everyone,1.8
AC-PER-024,Perth Observation Deck Skip-the-Line,Perth,sightseeing,66,4.3,families,1.4
AC-PER-025,Perth Street Food Walking Tour — Afternoon Edition,Perth,food & drink,58,4.3,"couples, foodies",3.6
AC-PER-026,Perth Cooking Class with Local Chef — Private Edition,Perth,food & drink,153,4.8,"couples, families",3.6
AC-PER-027,Perth Night Market & Tapas Crawl — Private Edition,Perth,food & drink,80,3.8,"adults, groups",3.8
AC-PER-028,Historic Perth City Walking Tour — Evening Edition,Perth,culture,46,3.4,everyone,2.8
AC-PER-029,Perth Museum & Gallery Pass — Premium Edition,Perth,culture,35,4.1,everyone,4.8
AC-PER-030,Perth Old Town Photography Tour — Small Group Edition,Perth,culture,106,3.9,"couples, solo travellers",2.7
AC-PER-031,Perth Sunset Cruise — Morning Edition,Perth,water,138,4.7,"couples, families",2.5
AC-PER-032,Snorkelling Day Trip from Perth — Evening Edition,Perth,water,274,4.4,"families, adventure seekers",8
AC-PER-033,Perth Kayak & Coastline Tour — Private Edition,Perth,water,116,3.7,active travellers,3.5
AC-PER-034,Perth Countryside Day Trip — Small Group Edition,Perth,day trip,221,4.3,everyone,8.4
AC-PER-035,Wine & Vineyard Tour near Perth — Premium Edition,Perth,day trip,149,3.5,adults,7.1
AC-PER-036,Perth Hidden Villages Small-Group Tour — Evening Edition,Perth,day trip,213,3.6,small groups,8.4
AC-PER-037,Perth Mountain Hike & Viewpoints — Private Edition,Perth,adventure,163,4.8,active travellers,7.3
AC-PER-038,Perth Bike Tour — Afternoon Edition,Perth,adventure,79,4.7,"active travellers, families",3
AC-PER-039,Perth Zipline & Ropes Adventure — Small Group Edition,Perth,adventure,188,3.6,adventure seekers,3.3
AC-CNS-001,Cairns Street Food Walking Tour,Cairns,food & drink,83,4.1,"couples, foodies",2.8
AC-CNS-002,Cairns Cooking Class with Local Chef,Cairns,food & drink,137,4.4,"couples, families",3.7
AC-CNS-003,Cairns Night Market & Tapas Crawl,Cairns,food & drink,68,4.5,"adults, groups",3.9
AC-CNS-004,Historic Cairns City Walking Tour,Cairns,culture,70,4.5,everyone,2.8
AC-CNS-005,Cairns Museum & Gallery Pass,Cairns,culture,35,4.3,everyone,4.5
AC-CNS-006,Cairns Old Town Photography Tour,Cairns,culture,60,4.7,"couples, solo travellers",2.1
AC-CNS-007,Cairns Sunset Cruise,Cairns,water,91,3.8,"couples, families",2.3
AC-CNS-008,Snorkelling Day Trip from Cairns,Cairns,water,111,4.6,"families, adventure seekers",7.5
AC-CNS-009,Cairns Kayak & Coastline Tour,Cairns,water,127,4,active travellers,3.3
AC-CNS-010,Cairns Countryside Day Trip,Cairns,day trip,148,3.5,everyone,9
AC-CNS-011,Wine & Vineyard Tour near Cairns,Cairns,day trip,260,3.4,adults,7.1
AC-CNS-012,Cairns Hidden Villages Small-Group Tour,Cairns,day trip,119,4,small groups,8.8
AC-CNS-013,Cairns Mountain Hike & Viewpoints,Cairns,adventure,134,4.7,active travellers,4.5
AC-CNS-014,Cairns Bike Tour,Cairns,adventure,66,3.6,"active travellers, families",4
AC-CNS-015,Cairns Zipline & Ropes Adventure,Cairns,adventure,157,4.2,adventure seekers,2.9
AC-CNS-016,Cairns Rooftop Bar Crawl,Cairns,nightlife,64,3.7,"adults, groups",3.1
AC-CNS-017,Cairns Live Music & Dinner Evening,Cairns,nightlife,172,4.1,"couples, adults",3.8
AC-CNS-018,Cairns Craft & Artisan Workshop,Cairns,class,118,4.5,everyone,2.7
AC-CNS-019,Cairns Language & Culture Crash Course,Cairns,class,67,4,solo travellers,2.5
AC-CNS-020,Cairns Wellness & Spa Half-Day,Cairns,wellness,247,3.5,couples,3.5
AC-CNS-021,Cairns Sunrise Yoga Session,Cairns,wellness,34,4.8,everyone,1.2
AC-CNS-022,Cairns Hop-On Hop-Off Bus Pass,Cairns,sightseeing,80,4.1,"families, everyone",5.4
AC-CNS-023,Cairns River & Canal Cruise,Cairns,sightseeing,77,3.7,everyone,1.1
AC-CNS-024,Cairns Observation Deck Skip-the-Line,Cairns,sightseeing,59,4.9,families,1.9
AC-CNS-025,Cairns Street Food Walking Tour — Private Edition,Cairns,food & drink,57,3.5,"couples, foodies",2.7
AC-CNS-026,Cairns Cooking Class with Local Chef — Morning Edition,Cairns,food & drink,124,4.1,"couples, families",3.2
AC-CNS-027,Cairns Night Market & Tapas Crawl — Private Edition,Cairns,food & drink,101,3.7,"adults, groups",3.8
AC-CNS-028,Historic Cairns City Walking Tour — Small Group Edition,Cairns,culture,48,3.9,everyone,2.1
AC-CNS-029,Cairns Museum & Gallery Pass — Evening Edition,Cairns,culture,71,4.4,everyone,4.9
AC-CNS-030,Cairns Old Town Photography Tour — Afternoon Edition,Cairns,culture,114,3.8,"couples, solo travellers",3
AC-CNS-031,Cairns Sunset Cruise — Private Edition,Cairns,water,143,4,"couples, families",2.4
AC-CNS-032,Snorkelling Day Trip from Cairns — Morning Edition,Cairns,water,98,4.1,"families, adventure seekers",7
AC-CNS-033,Cairns Kayak & Coastline Tour — Afternoon Edition,Cairns,water,108,3.6,active travellers,3.5
AC-CNS-034,Cairns Countryside Day Trip — Private Edition,Cairns,day trip,211,4,everyone,9.5
AC-CNS-035,Wine & Vineyard Tour near Cairns — Small Group Edition,Cairns,day trip,296,4.9,adults,7.2
AC-CNS-036,Cairns Hidden Villages Small-Group Tour — Private Edition,Cairns,day trip,191,3.8,small groups,7.1
AC-CNS-037,Cairns Mountain Hike & Viewpoints — Afternoon Edition,Cairns,adventure,144,3.5,active travellers,7.4
AC-CNS-038,Cairns Bike Tour — Premium Edition,Cairns,adventure,66,4,"active travellers, families",3.5
AC-AKL-001,Auckland Street Food Walking Tour,Auckland,food & drink,114,3.8,"couples, foodies",3.8
AC-AKL-002,Auckland Cooking Class with Local Chef,Auckland,food & drink,98,4.8,"couples, families",3.2
AC-AKL-003,Auckland Night Market & Tapas Crawl,Auckland,food & drink,69,4.3,"adults, groups",3.9
AC-AKL-004,Historic Auckland City Walking Tour,Auckland,culture,32,4.7,everyone,2.7
AC-AKL-005,Auckland Museum & Gallery Pass,Auckland,culture,33,4.3,everyone,4
AC-AKL-006,Auckland Old Town Photography Tour,Auckland,culture,124,4.2,"couples, solo travellers",2.7
AC-AKL-007,Auckland Sunset Cruise,Auckland,water,218,4.7,"couples, families",2.2
AC-AKL-008,Snorkelling Day Trip from Auckland,Auckland,water,194,4.7,"families, adventure seekers",7.1
AC-AKL-009,Auckland Kayak & Coastline Tour,Auckland,water,122,3.6,active travellers,3.7
AC-AKL-010,Auckland Countryside Day Trip,Auckland,day trip,303,3.5,everyone,9.8
AC-AKL-011,Wine & Vineyard Tour near Auckland,Auckland,day trip,197,4.4,adults,7.1
AC-AKL-012,Auckland Hidden Villages Small-Group Tour,Auckland,day trip,246,4.5,small groups,8.9
AC-AKL-013,Auckland Mountain Hike & Viewpoints,Auckland,adventure,118,3.6,active travellers,5.5
AC-AKL-014,Auckland Bike Tour,Auckland,adventure,67,3.5,"active travellers, families",3.1
AC-AKL-015,Auckland Zipline & Ropes Adventure,Auckland,adventure,208,3.9,adventure seekers,2.5
AC-AKL-016,Auckland Rooftop Bar Crawl,Auckland,nightlife,73,3.9,"adults, groups",3.4
AC-AKL-017,Auckland Live Music & Dinner Evening,Auckland,nightlife,153,3.9,"couples, adults",3.9
AC-AKL-018,Auckland Craft & Artisan Workshop,Auckland,class,107,3.7,everyone,2.2
AC-AKL-019,Auckland Language & Culture Crash Course,Auckland,class,78,4.9,solo travellers,2.6
AC-AKL-020,Auckland Wellness & Spa Half-Day,Auckland,wellness,178,4.2,couples,4.7
AC-AKL-021,Auckland Sunrise Yoga Session,Auckland,wellness,46,3.6,everyone,1.5
AC-AKL-022,Auckland Hop-On Hop-Off Bus Pass,Auckland,sightseeing,87,4.3,"families, everyone",7.8
AC-AKL-023,Auckland River & Canal Cruise,Auckland,sightseeing,54,4.5,everyone,1.4
AC-AKL-024,Auckland Observation Deck Skip-the-Line,Auckland,sightseeing,85,4.6,families,1.5
AC-AKL-025,Auckland Street Food Walking Tour — Private Edition,Auckland,food & drink,111,3.9,"couples, foodies",3
AC-AKL-026,Auckland Cooking Class with Local Chef — Morning Edition,Auckland,food & drink,195,4.4,"couples, families",3.9
AC-AKL-027,Auckland Night Market & Tapas Crawl — Afternoon Edition,Auckland,food & drink,94,3.9,"adults, groups",3.9
AC-AKL-028,Historic Auckland City Walking Tour — Morning Edition,Auckland,culture,74,4.6,everyone,3.2
AC-AKL-029,Auckland Museum & Gallery Pass — Small Group Edition,Auckland,culture,84,4.7,everyone,5.1
AC-AKL-030,Auckland Old Town Photography Tour — Evening Edition,Auckland,culture,134,4.4,"couples, solo travellers",3.5
AC-AKL-031,Auckland Sunset Cruise — Morning Edition,Auckland,water,87,3.7,"couples, families",2
AC-AKL-032,Snorkelling Day Trip from Auckland — Afternoon Edition,Auckland,water,239,4.9,"families, adventure seekers",7.3
AC-AKL-033,Auckland Kayak & Coastline Tour — Private Edition,Auckland,water,158,3.5,active travellers,3.5
AC-AKL-034,Auckland Countryside Day Trip — Evening Edition,Auckland,day trip,180,3.9,everyone,9.7
AC-AKL-035,Wine & Vineyard Tour near Auckland — Small Group Edition,Auckland,day trip,151,4,adults,7.9
AC-ZQN-001,Queenstown Street Food Walking Tour,Queenstown,food & drink,56,3.7,"couples, foodies",2.6
AC-ZQN-002,Queenstown Cooking Class with Local Chef,Queenstown,food & drink,181,4.9,"couples, families",4
AC-ZQN-003,Queenstown Night Market & Tapas Crawl,Queenstown,food & drink,106,3.4,"adults, groups",3.3
AC-ZQN-004,Historic Queenstown City Walking Tour,Queenstown,culture,32,4.3,everyone,2.4
AC-ZQN-005,Queenstown Museum & Gallery Pass,Queenstown,culture,41,3.8,everyone,3.5
AC-ZQN-006,Queenstown Old Town Photography Tour,Queenstown,culture,131,4.5,"couples, solo travellers",3.4
AC-ZQN-007,Queenstown Sunset Cruise,Queenstown,water,212,4,"couples, families",2.3
AC-ZQN-008,Snorkelling Day Trip from Queenstown,Queenstown,water,210,4.7,"families, adventure seekers",6.5
AC-ZQN-009,Queenstown Kayak & Coastline Tour,Queenstown,water,132,3.6,active travellers,3.9
AC-ZQN-010,Queenstown Countryside Day Trip,Queenstown,day trip,154,3.7,everyone,8.9
AC-ZQN-011,Wine & Vineyard Tour near Queenstown,Queenstown,day trip,329,4.9,adults,7.7
AC-ZQN-012,Queenstown Hidden Villages Small-Group Tour,Queenstown,day trip,274,4.4,small groups,7.1
AC-ZQN-013,Queenstown Mountain Hike & Viewpoints,Queenstown,adventure,99,4.1,active travellers,6.8
AC-ZQN-014,Queenstown Bike Tour,Queenstown,adventure,110,3.8,"active travellers, families",3.7
AC-ZQN-015,Queenstown Zipline & Ropes Adventure,Queenstown,adventure,193,4.9,adventure seekers,3.6
AC-ZQN-016,Queenstown Rooftop Bar Crawl,Queenstown,nightlife,113,4.8,"adults, groups",3.4
AC-ZQN-017,Queenstown Live Music & Dinner Evening,Queenstown,nightlife,223,5,"couples, adults",4
AC-ZQN-018,Queenstown Craft & Artisan Workshop,Queenstown,class,141,3.9,everyone,2.1
AC-ZQN-019,Queenstown Language & Culture Crash Course,Queenstown,class,86,4.4,solo travellers,2.9
AC-ZQN-020,Queenstown Wellness & Spa Half-Day,Queenstown,wellness,342,4.2,couples,3.4
AC-ZQN-021,Queenstown Sunrise Yoga Session,Queenstown,wellness,52,3.5,everyone,1.9
AC-ZQN-022,Queenstown Hop-On Hop-Off Bus Pass,Queenstown,sightseeing,89,3.7,"families, everyone",5.2
AC-ZQN-023,Queenstown River & Canal Cruise,Queenstown,sightseeing,49,3.6,everyone,2.2
AC-ZQN-024,Queenstown Observation Deck Skip-the-Line,Queenstown,sightseeing,75,3.7,families,1.1
AC-ZQN-025,Queenstown Street Food Walking Tour — Morning Edition,Queenstown,food & drink,66,4.3,"couples, foodies",3.6
AC-ZQN-026,Queenstown Cooking Class with Local Chef — Morning Edition,Queenstown,food & drink,125,3.6,"couples, families",3.4
AC-ZQN-027,Queenstown Night Market & Tapas Crawl — Private Edition,Queenstown,food & drink,92,3.6,"adults, groups",3.6
AC-ZQN-028,Historic Queenstown City Walking Tour — Afternoon Edition,Queenstown,culture,75,4,everyone,3.3
AC-ZQN-029,Queenstown Museum & Gallery Pass — Afternoon Edition,Queenstown,culture,62,4.1,everyone,5.4
AC-ZQN-030,Queenstown Old Town Photography Tour — Afternoon Edition,Queenstown,culture,102,4.3,"couples, solo travellers",2.2
